Опасность в моём сердце 2 / Boku no Kokoro no Yabai Yatsu 2nd Season,TV Сериал,13,PG-13,8.7
Код Гиас: Восставший Лелуш / Code Geass: Hangyaku no Lelouch,TV Сериал,25,R+,8.71
Сёва-Гэнроку: Двойное самоубийство по ракуго 2 / Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV Сериал,12,PG-13,8.7
Блич: Тысячелетняя кровавая война — Прощание / Bleach: Sennen Kessen-hen - Ketsubetsu-tan,TV Сериал,13,R-17,8.7
"Клинок, рассекающий демонов: Квартал красных фонарей / Kimetsu no Yaiba: Yuukaku-hen",TV Сериал,11,R-17,8.7
Бродяга Кэнсин: Воспоминания / Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,R-17,8.69
Вайолет Эвергарден / Violet Evergarden,TV Сериал,13,PG-13,8.69
Крутой учитель Онидзука / Great Teacher Onizuka,TV Сериал,43,R-17,8.68
Магистр дьявольского культа 3 / Mo Dao Zu Shi: Wanjie Pian,ONA,12,R-17,8.68
Мастер муси: Следующая глава / Mushishi Zoku Shou,TV Сериал,10,PG-13,8.68
"Клинок, рассекающий демонов: Бесконечный замок — Возвращение Акадзы / Kimetsu no Yaiba Movie 1: Mugenjou-hen - Akaza Sairai",Фильм,1,R-17,8.68
Царство 6 / Kingdom 6th Season,TV Сериал,13,R-17,8.68
Принцесса Мононоке / Mononoke Hime,Фильм,1,PG-13,8.67
Блич: Тысячелетняя кровавая война — Конфликт / Bleach: Sennen Kessen-hen - Soukoku-tan,TV Сериал,14,R-17,8.67
Ходячий замок / Howl no Ugoku Shiro,Фильм,1,G,8.67
Первый шаг: Новый вызов / Hajime no Ippo: New Challenger,TV Сериал,26,PG-13,8.67
Девушки-пони: Серая Золушка. Часть 2 / Uma Musume: Cinderella Gray Part 2,TV Сериал,10,PG-13,8.67
Мастер муси / Mushishi,TV Сериал,26,PG-13,8.65
Цикл историй: Межсезонье и сезон монстров / Monogatari Series: Off & Monster Season,ONA,14,R-17,8.65
Твоя апрельская ложь / Shigatsu wa Kimi no Uso,TV Сериал,22,PG-13,8.64
Атака титанов 3 / Shingeki no Kyojin Season 3,TV Сериал,12,R-17,8.64
Агент времени 2 / Shiguang Dailiren II,ONA,12,R-17,8.64
"Гуррен-Лаганн, пронзающий небеса / Tengen Toppa Gurren Lagann",TV Сериал,27,PG-13,8.64
Судьба/Ночь схватки: Прикосновение небес 3 / Fate/stay night Movie: Heaven's Feel - III. Spring Song,Фильм,1,R-17,8.64
Благословение небожителей 2 / Tian Guan Cifu Er,ONA,12,PG-13,8.64
Повелитель тайн: Клоун / Guimi Zhi Zhu: Xiaochou Pian,ONA,13,R-17,8.63
Девушки-пони: Славное дерби — Начало новой эры / Uma Musume: Pretty Derby - Shin Jidai no Tobira,Фильм,1,PG-13,8.64
Созданный в Бездне / Made in Abyss,TV Сериал,13,R-17,8.63
Тетрадь дружбы Нацумэ 4 / Natsume Yuujinchou Shi,TV Сериал,13,PG-13,8.63
Пинг-понг / Ping Pong the Animation,TV Сериал,11,PG-13,8.63
Случайное такси / Odd Taxi,TV Сериал,13,PG-13,8.63
Госпожа Кагуя: в любви как на войне 2 / Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV Сериал,12,PG-13,8.62
Реинкарнация безработного: История о приключениях в другом мире. Часть 2 / Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV Сериал,12,R-17,8.62
Киберпанк: Бегущие по краю / Cyberpunk: Edgerunners,ONA,10,R+,8.62
